text,label
"Urgent! Your account will be suspended. Click here immediately to verify your details.",1
"Your OTP is 123456. Do not share this code with anyone.",0
"Congratulations! You won $1000000 in the lottery. Share your bank details to claim.",1
"Meeting scheduled for tomorrow at 3 PM in conference room B.",0
"FINAL NOTICE: Your SBI account is locked. Update KYC now at http://sbi-verify.xyz",1
"Your package has been delivered successfully. Thank you for shopping with us.",0
"Act now! Limited time offer. Click here to claim your cash reward.",1
"Reminder: Your dentist appointment is on Friday at 10 AM.",0
"Share your verification code immediately or your account will be closed.",1
"Your credit card statement for March is now available online.",0
"Urgent KYC update required for HDFC account. Visit http://hdfc-kyc.com now.",1
"Thank you for your payment. Your transaction was successful.",0
"You have won a prize! Call this number to claim: 9876543210",1
"Your flight booking is confirmed. Check-in opens 24 hours before departure.",0
"RBI notice: Your bank account needs immediate verification. Click link.",1
"Your subscription has been renewed successfully. Next billing date: April 15.",0
"Congratulations! You are selected for a cash reward of Rs 50000. Reply YES.",1
"Your order #12345 has been shipped and will arrive in 2-3 business days.",0
"Share OTP code to verify your identity. This is urgent and mandatory.",1
"Your password has been changed successfully. If this wasn't you, contact support.",0
"Final warning! Your account suspended. Update details at http://bit.ly/bank123",1
"Your appointment has been rescheduled to next Tuesday at 2 PM.",0
"Urgent: Share your one time password to unlock your account immediately.",1
"Your monthly statement is ready. Login to view your transactions.",0
"KYC verification pending. Account will be blocked. Act now: http://tinyurl.com/kyc",1
"Thank you for attending our webinar. Recording will be shared soon.",0
"You won lottery prize! Send bank account number to claim Rs 100000.",1
"Your insurance policy renewal is due next month. Please make payment.",0
"Urgent! RBI mandates KYC update. Share verification code now or lose access.",1
"Your reservation at the restaurant is confirmed for Saturday 7 PM.",0
"Congratulations! You are eligible for instant loan. Click here to apply.",1
"Your gym membership expires next week. Renew now to continue access.",0
"HDFC Bank: Your account is suspended. Verify immediately at http://hdfc-secure.net",1
"Your prescription is ready for pickup at the pharmacy.",0
"Act immediately! Share OTP to prevent account closure. Final notice.",1
"Your electricity bill payment was successful. Receipt sent to email.",0
"You have won cash prize in lucky draw. Share details: http://bit.ly/prize123",1
"Your library books are due next Friday. Please return or renew them.",0
"Urgent verification needed! Your SBI account locked. Update KYC: http://sbi-update.com",1
"Your appointment reminder: Annual health checkup on Monday 9 AM.",0
"Limited time offer! Claim your reward now. Click here immediately.",1
"Your tax refund has been processed. Amount will be credited in 5-7 days.",0
"Share your verification code to complete KYC. This is mandatory and urgent.",1
"Your magazine subscription starts next month. First issue will arrive soon.",0
"Final warning: Account suspended. Verify at http://tinyurl.com/bank456 now.",1
"Your course enrollment is confirmed. Classes begin next Monday.",0
"Congratulations! You won iPhone 15. Share address to deliver prize.",1
"Your water bill for this month is Rs 450. Pay before due date.",0
"Urgent! Share OTP code immediately to unlock your bank account.",1
"Your car service appointment is scheduled for Thursday 11 AM.",0
"RBI alert: KYC update required. Account blocked. Visit http://rbi-kyc.net",1
"Your concert tickets have been emailed. Show QR code at entry.",0
"Act now! Limited slots. Share verification code to claim cash reward.",1
"Your internet bill payment reminder. Due date: 25th of this month.",0
"HDFC urgent notice: Share one time password to verify account immediately.",1
"Your book order has been dispatched. Track shipment with provided link.",0
"You won lottery! Congratulations! Send bank details to claim Rs 500000.",1
"Your yoga class schedule has been updated. Check app for new timings.",0
"Final notice! Account will be closed. Update KYC at http://bit.ly/kyc789",1
"Your hotel booking is confirmed. Check-in time: 2 PM on arrival date.",0
"Urgent verification! Share OTP now or lose access to your account.",1
"Your exam results have been published. Login to student portal to view.",0
"SBI account suspended! Act immediately. Verify at http://sbi-verify.online",1
"Your grocery delivery will arrive between 4-6 PM today.",0
"Congratulations! You are winner of cash prize. Click to claim reward.",1
"Your phone bill for this month is Rs 599. Auto-debit scheduled.",0
"Urgent! Share verification code to prevent account suspension. Act now.",1
"Your movie tickets are booked. Show confirmation at theater counter.",0
"KYC update mandatory! HDFC account locked. Visit http://hdfc-update.com",1
"Your blood test reports are ready. Download from hospital portal.",0
"Final warning! Share OTP immediately to unlock account. Limited time.",1
"Your train ticket booking is confirmed. PNR: 1234567890.",0
"You won prize money! Congratulations! Share details at http://tinyurl.com/win123",1
"Your newspaper subscription has been renewed for another year.",0
"Urgent RBI notice! Account suspended. Update KYC: http://rbi-update.net",1
"Your parcel is out for delivery. Expected arrival: today by 7 PM.",0
"Act now! Share one time password to claim your cash reward immediately.",1
"Your credit card payment is due on 15th. Minimum amount: Rs 2500.",0
"Congratulations! You won lottery prize. Share bank account to receive money.",1
"Your dental cleaning appointment is next Wednesday at 4 PM.",0
"Urgent verification required! Share OTP code now to prevent account closure.",1
"Your electricity connection request has been approved. Installation next week.",0
"Final notice! SBI account locked. Verify at http://bit.ly/sbi456 immediately.",1
"Your online order is being prepared. Will ship within 24 hours.",0
"You are selected for cash reward! Click here to claim Rs 75000 now.",1
"Your vehicle insurance renewal reminder. Policy expires next month.",0
"Urgent! Share verification code immediately. Account will be suspended.",1
"Your flight has been delayed by 2 hours. New departure time: 8 PM.",0
"HDFC KYC update pending! Account blocked. Act now: http://hdfc-kyc.online",1
"Your prescription refill is ready for pickup at the pharmacy.",0
"Congratulations! You won prize in lucky draw. Share details to claim.",1
"Your gas cylinder booking is confirmed. Delivery in 2-3 days.",0
"Final warning! Share OTP now or account will be permanently closed.",1
"Your exam admit card is available for download on the website.",0
"Urgent RBI mandate! Update KYC immediately at http://tinyurl.com/rbi789",1
"Your appointment with Dr. Smith is confirmed for next Friday 3 PM.",0
"Act immediately! Share verification code to unlock your bank account now.",1
"Your monthly rent payment reminder. Due date: 1st of next month.",0
"You won cash prize! Congratulations! Click here: http://bit.ly/prize789",1
"Your library card has been renewed. Valid for another year.",0
"Urgent! SBI account suspended. Share OTP to verify: http://sbi-secure.net",1
"Your package delivery attempt failed. Reschedule at your convenience.",0
"Final notice! Share one time password immediately to prevent account loss.",1
"Your gym class schedule for next week has been posted on the app.",0
"Congratulations! You are lottery winner. Share bank details to receive prize.",1
"Your electricity meter reading is scheduled for tomorrow between 9-12.",0
"Your account has been compromised. Click here to secure it now.",1
"Free iPhone! You've been selected. Claim now before it expires.",1
"Your package is stuck in customs. Pay fee to release: http://customs-pay.xyz",1
"Verify your identity immediately or face legal action.",1
"You have unclaimed tax refund. Share bank details to receive.",1
"Your Netflix account suspended. Update payment: http://netflix-verify.com",1
"Urgent: Your email will be deleted. Verify now to keep access.",1
"You've been approved for instant loan. No documents needed. Apply now.",1
"Your WhatsApp will expire. Renew by sharing verification code.",1
"Amazon: Your order cancelled. Refund requires bank details.",1
"Urgent: Your bank account has unusual activity. Share OTP immediately.",1
"Your courier has been delivered successfully. Thank you for choosing us.",0
"Final reminder! Update KYC now to avoid account suspension.",1
"Your Spotify subscription has been renewed successfully.",0
"You have won a scratch card prize of Rs 25000. Claim now!",1
"Meeting rescheduled to 3 PM tomorrow in conference room B.",0
"Your ATM card will be blocked. Verify details immediately.",1
"Your Amazon package has shipped and will arrive tomorrow.",0
"Limited time offer! Claim your free voucher by sharing code.",1
"Your water bill payment of Rs 750 has been received.",0
"Account locked due to suspicious login. Confirm OTP now.",1
"Your train has arrived at platform 4.",0
"Click here to reactivate your PayPal account immediately.",1
"Your electricity bill is due next week.",0
"Lottery winner announcement! Submit bank details to claim prize.",1
"Your class assignment deadline has been extended.",0
"Verify your Aadhaar details immediately to avoid penalties.",1
"Your Uber ride is arriving in 5 minutes.",0
"You have been selected for a government subsidy. Share details.",1
"Your grocery order has been packed and dispatched.",0
"Immediate action required: Share your debit card number.",1
"Your child’s school fee receipt has been generated.",0
"Free vacation trip! Pay small fee to confirm booking.",1
"Your parcel delivery failed. Reschedule via official app.",0
"Urgent RBI circular: Update account info now.",1
"Your office ID card is ready for collection.",0
"You are eligible for tax refund. Provide bank account number.",1
"Your laptop repair request is approved.",0
"Account verification required. Click suspicious link now.",1
"Your subscription renewal reminder.",0
"Pay fine immediately to avoid legal action.",1
"Your restaurant booking is confirmed.",0
"Urgent! Your WhatsApp account will expire. Verify now.",1
"Library membership renewal successful.",0
"Credit card limit increased. Confirm OTP to activate.",1
"Your medicine order is ready for pickup.",0
"Important notice: Update PAN details immediately.",1
"Team meeting starts in 10 minutes.",0
"Your SIM card will be deactivated. Act now.",1
"Bus ticket confirmed for tomorrow.",0
"You have won lucky draw! Claim within 24 hours.",1
"Reminder: Submit your project by Friday.",0
"Share OTP to avoid account freeze.",1
"Your electricity outage complaint has been resolved.",0
"Click to secure your account now.",1
"Yoga session starts at 6 AM tomorrow.",0
"Update banking credentials to prevent suspension.",1
"Package successfully delivered.",0
"Confirm your identity to release payment.",1
"Your exam hall ticket is available.",0
"Congratulations! You are our weekly winner.",1
"Pet vaccination appointment reminder.",0
"Your account compromised. Verify immediately.",1
"Monthly salary credited successfully.",0
"Legal notice: Immediate response required.",1
"Hotel booking confirmed for 3 nights.",0
"Urgent KYC pending! Account blocked.",1
"New message from HR department.",0
"Free gift card worth Rs 5000. Click now.",1
"Gym membership activated.",0
"Bank account restricted. Share code now.",1
"Flight boarding begins at Gate 12.",0
"Final chance! Claim your reward.",1
"Your parcel is out for delivery.",0
"Identity verification required. Share password.",1
"Water supply maintenance notice.",0
"You have won car lottery!",1
"Library fine payment received.",0
"Immediate OTP required for transaction.",1
"Office closed tomorrow due to holiday.",0
"Update KYC via this link now.",1
"Your mobile recharge successful.",0
"Claim your prize before midnight.",1
"Bank holiday announcement.",0
"Your Netflix payment failed. Update card now.",1
"Electricity board service update.",0
"Urgent: Reactivate your debit card now.",1
"Your doctor appointment reminder.",0
"Click here to unlock account immediately.",1
"Delivery arriving between 5-6 PM.",0
"Free iPad giveaway. Confirm now.",1
"Project meeting link shared on email.",0
"Immediate action: Provide CVV to proceed.",1
"Payment received successfully.",0
"Account permanently blocked unless verified.",1
"Train delayed by 20 minutes.",0
"Loan approved instantly. Share details.",1
"Library book return reminder.",0
"Account access suspended. Verify identity.",1
"Car service appointment confirmed.",0
"Prize amount credited after confirmation.",1
"Bus route changed due to maintenance.",0
"Update credentials to avoid account loss.",1
"Office attendance marked successfully.",0
"Click suspicious link to avoid fine.",1
"Weather alert for tomorrow.",0
"Instant cashback reward waiting.",1
"Team lunch scheduled at 1 PM.",0
"Submit personal info to claim tax refund.",1
"Online class link shared in portal.",0
"Urgent payment required for delivery release.",1
"Vaccination drive schedule updated.",0
"Provide ATM PIN to proceed.",1
"Electricity bill generated.",0
"Account closure notice. Act immediately.",1
"Library hours extended this week.",0
"You won smartphone! Claim reward.",1
"Meeting postponed to Monday.",0
"Verification code required immediately.",1
"Your bank statement is ready.",0
"Limited offer! Free recharge now.",1
"Gas connection successfully renewed.",0
"Confirm account to receive funds.",1
"Car insurance renewal reminder.",0
"Your package stuck. Pay customs fee.",1
"Semester timetable uploaded.",0
"Immediate compliance required to avoid penalty.",1
"Classroom changed to Block C.",0
"Click here to prevent suspension.",1
"Bank maintenance scheduled tonight.",0
"Share OTP for cashback activation.",1
"System maintenance notice.",0
"Free reward points credited.",1
"Salary credited to your account.",0
"Provide login details to secure account.",1
"Your parcel tracking updated.",0
"Final warning! Share code now.",1
"Monthly internet usage report available.",0
"Claim exclusive bonus now.",1
"Your electricity payment successful.",0
"Security alert: Suspicious transaction detected. Confirm details immediately.",1
"Your bus pass renewal is due this Friday.",0
"Important: Share your OTP to cancel unauthorized payment.",1
"Team outing scheduled next Saturday at 5 PM.",0
"Government scheme approval pending. Submit Aadhaar copy now.",1
"Your broadband plan has been upgraded successfully.",0
"Urgent: Your debit card expired. Update details via link.",1
"Staff meeting postponed to Thursday.",0
"Confirm your UPI PIN to complete verification.",1
"Library new arrivals list is now available.",0
"Your mobile number will be deactivated. Verify immediately.",1
"Water supply interruption notice for tomorrow.",0
"Payment failed. Re-enter card details to continue.",1
"Your movie subscription renewed successfully.",0
"You are pre-approved for credit card. Click to activate instantly.",1
"Exam timetable updated on student portal.",0
"Immediate KYC revalidation required to avoid penalties.",1
"Package delivered at your doorstep.",0
"Your social media account flagged. Login to secure now.",1
"Office cafeteria menu updated for the week.",0
"Final reminder: Submit identity proof to prevent blocking.",1
"Flight check-in reminder sent to your email.",0
"Claim cashback bonus by confirming bank credentials.",1
"Your electricity complaint has been registered.",0
"Unusual login detected. Share verification code now.",1
"Project submission confirmation received.",0
"Lottery processing fee required to release winnings.",1
"Your insurance premium payment was successful.",0
"Immediate response required to prevent service termination.",1
"Monthly maintenance bill generated.",0
"Click link to reset account password immediately.",1
"Conference call scheduled at 11 AM.",0
"Free shopping voucher waiting. Confirm now.",1
"Courier shipment picked up and on the way.",0
"Provide card CVV to verify transaction.",1
"Your broadband outage issue resolved.",0
"Exclusive offer! Claim gift hamper today.",1
"Your driving license renewal approved.",0
"Urgent notice: Bank account frozen. Update details now.",1
"Class attendance updated successfully.",0
"Submit bank details to receive scholarship fund.",1
"Your water purifier service completed.",0
"Immediate OTP required to validate transfer.",1
"Your online class begins at 9 AM.",0
"Confirm personal data to avoid legal consequences.",1
"Your recharge pack activated successfully.",0
"Tax penalty notice issued. Pay immediately.",1
"Your salary slip is now available.",0
"Reactivate account to prevent permanent deletion.",1
"Vaccination slot booked successfully.",0
"You have won travel voucher. Share ID proof to claim.",1
"Electricity connection installed successfully.",0
"Your SIM upgrade request approved.",0
"Unauthorized attempt detected. Provide login details.",1
"Bank refund pending. Share account number.",1
"Your workshop registration confirmed.",0
"Limited period bonus reward. Verify now.",1
"Your college ID renewal complete.",0
"Immediate account audit required. Click link.",1
"Parcel returned due to incorrect address.",0
"Prize claim expiring soon. Respond immediately.",1
"Your hospital report ready for download.",0
"Share banking credentials to unblock account.",1
"Internet data usage alert for this month.",0
"Account flagged for suspicious behavior. Confirm now.",1
"New assignment uploaded by professor.",0
"Processing fee required to release parcel.",1
"Your bank statement mailed successfully.",0
"Free recharge credit available. Act now.",1
"Apartment maintenance schedule shared.",0
"Payment verification required. Share OTP urgently.",1
"Monthly electricity reading completed.",0
"Identity mismatch detected. Submit documents.",1
"Your order refund processed successfully.",0
"Immediate action needed to prevent account closure.",1
"Library event invitation received.",0
"Update payment info to avoid subscription cancellation.",1
"Your child bus route updated.",0
"Claim government compensation fund now.",1
"Your vehicle registration updated.",0
"Final compliance notice. Verify account.",1
"Meeting minutes shared via email.",0
"Cash reward credited after confirmation.",1
"Office WiFi maintenance scheduled.",0
"Reset account credentials immediately.",1
"Semester fee payment successful.",0
"Urgent bank advisory. Update PAN details now.",1
"Exam hall allocation published.",0
"Account temporarily suspended. Reactivate now.",1
"Your parcel delivery rescheduled.",0
"Provide debit card details for refund.",1
"Annual performance review scheduled.",0
"Security breach detected. Confirm access code.",1
"Your tax filing acknowledgment received.",0
"Claim unclaimed bonus points immediately.",1
"Hotel reservation reminder sent.",0
"Immediate verification required for transaction.",1
"New payroll update notification.",0
"Click link to avoid penalty charges.",1
"Water tank cleaning scheduled tomorrow.",0
"Loan disbursement pending. Confirm bank info.",1
"Your event ticket QR code generated.",0
"Final alert! Update details to secure account.",1
"Bus timing revised due to traffic.",0
"Prize processing underway. Submit account details.",1
"Library closed for public holiday.",0
"Immediate OTP confirmation needed.",1
"Salary increment letter issued.",0
"Provide login password to restore access.",1
"Your medical claim approved.",0
"Service termination warning. Act now.",1
"Electricity bill auto-pay successful.",0
"Congratulations! Exclusive reward unlocked.",1
"School circular published for parents.",0
"Confirm identity to continue service.",1
"Your courier tracking updated.",0
"Unauthorized debit attempt detected.",1
"Office seating plan updated.",0
"Final notice before account lock.",1
"Gym session reminder for tomorrow.",0
"Security update required to protect account.",1
"Exam results announced online.",0
"Provide UPI PIN to verify payment.",1
"Maintenance work completed successfully.",0
"Free coupon expires today. Claim now.",1
"Your academic transcript is ready.",0
"Urgent transaction approval needed.",1
"Office holiday announcement.",0
"Account permanently disabled unless verified.",1
"Your delivery driver arriving shortly.",0
"Reactivate SIM by confirming code.",1
"Payroll credited successfully.",0
"Suspicious activity detected. Share OTP.",1
"Electricity tariff updated notice.",0
